,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
7979,2017 Maruti Vitara Brezza VDi Option,9108,2017,1248,Comprehensive,89681,First Owner,Diesel,5,243,SUV,Hyderabad,0,1
7980,2019 Hyundai i20 Sportz Plus BSIV,8388,2019,1197,Comprehensive,23022,First Owner,Petrol,5,186,Hatchback,Hyderabad,0,1
7981,2012 Maruti Alto K10 LXI,2340,2013,998,Third Party,77013,Second Owner,Petrol,5,2439,Hatchback,Hyderabad,0,1
7982,2012 Hyundai i10 Era 1.1 iTech SE,3672,2012,1086,Third Party,74754,Second Owner,Petrol,5,1981,Hatchback,Hyderabad,0,1
7983,2015 Honda Jazz 1.2 SV i VTEC,5220,2015,1199,Third Party,85589,Second Owner,Petrol,5,187,Hatchback,Hyderabad,0,1
7984,2012 Hyundai i10 Sportz,3780,2012,1197,Third Party,47650,First Owner,Petrol,5,2036,Hatchback,Hyderabad,0,1
7985,2017 Ford Ecosport 1.5 TDCi Titanium BSIV,8112,2017,1498,Comprehensive,89576,Third Owner,Diesel,5,2277,SUV,Hyderabad,0,1
7986,2016 Maruti Swift Dzire AMT ZDI,7752,2016,1248,Third Party,85948,First Owner,Diesel,5,2659,Sedan,Hyderabad,1,0
7987,2018 Honda Amaze VX i DTEC,7200,2018,1498,Third Party,60000,Second Owner,Diesel,5,258,Sedan,Hyderabad,0,1
7988,2017 Honda City i VTEC V,9900,2017,1497,Third Party,40000,Second Owner,Petrol,5,178,Sedan,Hyderabad,0,1
7989,2011 Hyundai i10 Sportz AT,3959,2011,1197,Third Party,100000,Second Owner,Petrol,5,1695,Hatchback,Hyderabad,1,0
7990,2022 Maruti Vitara Brezza VXI,12000,2022,1462,Third Party,20000,First Owner,Petrol,5,1703,SUV,Hyderabad,0,1
7991,2017 Honda City i VTEC V,9900,2017,1497,Third Party,40000,Second Owner,Petrol,5,178,Sedan,Hyderabad,0,1
7992,2022 Hyundai Venue S,10500,2022,1197,Third Party,30000,Second Owner,Petrol,5,1752,SUV,Hyderabad,0,1
7993,2014 Honda Amaze E i-Vtech,4680,2014,1198,Third Party,100000,Second Owner,Petrol,5,18,Sedan,Hyderabad,0,1
7994,2014 Honda Amaze E i-Vtech,4680,2014,1198,Third Party,100000,Second Owner,Petrol,5,18,Sedan,Hyderabad,0,1
7995,2021 Tata Tiago XT BSVI,7320,2021,1199,Zero Dep,21314,First Owner,Petrol,5,1901,Hatchback,Hyderabad,0,1
7996,2017 Maruti Baleno 1.2 Delta,7104,2017,1197,Zero Dep,35777,First Owner,Petrol,5,214,Hatchback,Hyderabad,0,1
7997,2017 Ford Ecosport 1.5 Ti VCT MT Titanium BSIV,8184,2017,1499,Comprehensive,41886,First Owner,Petrol,5,1585,SUV,Hyderabad,0,1
7998,2021 Hyundai Santro Asta,6744,2021,1086,Zero Dep,20837,Second Owner,Petrol,5,203,Hatchback,Hyderabad,0,1
7999,2017 Maruti Baleno RS 1.0 Petrol,7919,2017,998,Comprehensive,44797,First Owner,Petrol,5,211,Hatchback,Hyderabad,0,1
8000,2019 Ford Ecosport 1.5 Petrol Titanium BSIV,10008,2020,1497,Third Party,81462,First Owner,Petrol,5,17,SUV,Hyderabad,0,1
